Date,Visible,Max Height*,Appears,Disappears,Share Event
"Wed Nov 10, 04:22 AM",1 min,19°,19° above E,10° above ESE,
"Wed Nov 10, 05:55 AM",4 min,19°,14° above W,10° above S,
"Thu Nov 11, 05:11 AM",2 min,29°,29° above SSW,10° above SSE,
"Fri Nov 12, 04:26 AM",< 1 min,10°,10° above SE,10° above SE,
"Mon Nov 15, 06:41 PM",1 min,14°,10° above S,14° above S,
"Tue Nov 16, 05:56 PM",2 min,13°,10° above SSE,12° above ESE,
"Tue Nov 16, 07:30 PM",< 1 min,12°,10° above WSW,12° above WSW,
"Wed Nov 17, 06:43 PM",3 min,55°,10° above SW,55° above SSW,
"Thu Nov 18, 05:56 PM",5 min,41°,10° above SSW,25° above E,
"Thu Nov 18, 07:34 PM",1 min,13°,10° above W,13° above WNW,
"Fri Nov 19, 06:46 PM",3 min,34°,10° above W,34° above NNW,
"Sat Nov 20, 05:59 PM",6 min,57°,10° above WSW,19° above NE,
"Sun Nov 21, 06:50 PM",2 min,16°,10° above WNW,16° above NNW,
"Mon Nov 22, 06:02 PM",5 min,22°,10° above W,13° above NNE,
"Wed Nov 24, 06:06 PM",3 min,12°,10° above NW,10° above N,
"Sat Nov 20, 04:43 PM",6 min,57°,10° above WSW,19° above NE,